999, 204285, 0, 0, 0
1999, 203853, 0, 0, 0
2999, 204242, 0, 0, 0
4000, 204625, 0, 0, 0
4999, 204417, 0, 0, 0
5999, 204645, 0, 0, 0
6999, 204136, 0, 0, 0
7999, 204317, 0, 0, 0
8999, 204536, 0, 0, 0
9999, 204637, 0, 0, 0
10999, 203903, 0, 0, 0
11999, 204104, 0, 0, 0
12999, 204262, 0, 0, 0
13999, 203925, 0, 0, 0
14999, 204164, 0, 0, 0
15999, 203695, 0, 0, 0
16999, 204219, 0, 0, 0
17999, 204218, 0, 0, 0
19000, 204070, 0, 0, 0
19999, 204169, 0, 0, 0
20999, 204274, 0, 0, 0
21999, 204046, 0, 0, 0
23000, 204398, 0, 0, 0
23999, 204570, 0, 0, 0
24999, 204136, 0, 0, 0
25999, 204138, 0, 0, 0
27000, 203970, 0, 0, 0
27999, 203843, 0, 0, 0
28999, 203882, 0, 0, 0
29999, 203924, 0, 0, 0
