999, 203337, 0, 0, 0
1999, 203012, 0, 0, 0
2999, 203303, 0, 0, 0
3999, 202966, 0, 0, 0
4999, 203543, 0, 0, 0
6000, 203155, 0, 0, 0
6999, 203667, 0, 0, 0
7999, 203058, 0, 0, 0
8999, 203160, 0, 0, 0
9999, 203397, 0, 0, 0
10999, 203392, 0, 0, 0
12000, 202910, 0, 0, 0
12999, 203377, 0, 0, 0
13999, 203023, 0, 0, 0
14999, 203348, 0, 0, 0
15999, 203252, 0, 0, 0
16999, 203187, 0, 0, 0
17999, 203269, 0, 0, 0
18999, 203397, 0, 0, 0
19999, 203083, 0, 0, 0
20999, 203227, 0, 0, 0
21999, 203103, 0, 0, 0
22999, 202883, 0, 0, 0
23999, 203094, 0, 0, 0
24999, 202697, 0, 0, 0
25999, 203181, 0, 0, 0
26999, 203125, 0, 0, 0
27999, 203054, 0, 0, 0
28999, 203036, 0, 0, 0
29999, 202911, 0, 0, 0
