999, 209162, 0, 0, 0
1999, 209168, 0, 0, 0
2999, 209152, 0, 0, 0
3999, 209074, 0, 0, 0
4999, 209100, 0, 0, 0
5999, 209081, 0, 0, 0
6999, 209014, 0, 0, 0
7999, 209183, 0, 0, 0
8999, 209095, 0, 0, 0
9999, 209057, 0, 0, 0
11000, 209087, 0, 0, 0
11999, 209129, 0, 0, 0
12999, 209090, 0, 0, 0
13999, 209045, 0, 0, 0
14999, 209110, 0, 0, 0
15999, 209055, 0, 0, 0
16999, 209133, 0, 0, 0
17999, 209068, 0, 0, 0
18999, 209221, 0, 0, 0
19999, 209069, 0, 0, 0
20999, 209101, 0, 0, 0
22000, 208999, 0, 0, 0
22999, 208985, 0, 0, 0
23999, 208886, 0, 0, 0
24999, 208858, 0, 0, 0
25999, 208582, 0, 0, 0
26999, 208613, 0, 0, 0
27999, 208601, 0, 0, 0
28999, 208367, 0, 0, 0
29999, 208660, 0, 0, 0
