999, 85217, 0, 0, 0
1999, 85430, 0, 0, 0
2999, 85534, 0, 0, 0
3999, 87105, 0, 0, 0
4999, 87229, 0, 0, 0
5999, 86998, 0, 0, 0
6999, 87201, 0, 0, 0
7999, 87111, 0, 0, 0
8999, 87250, 0, 0, 0
9999, 87243, 0, 0, 0
10999, 87128, 0, 0, 0
12000, 85835, 0, 0, 0
12999, 85425, 0, 0, 0
13999, 86893, 0, 0, 0
14999, 86935, 0, 0, 0
15999, 87131, 0, 0, 0
16999, 86918, 0, 0, 0
18000, 87025, 0, 0, 0
18999, 87049, 0, 0, 0
19999, 87082, 0, 0, 0
20999, 87047, 0, 0, 0
21999, 87025, 0, 0, 0
22999, 86690, 0, 0, 0
24000, 86361, 0, 0, 0
24999, 85389, 0, 0, 0
25999, 85265, 0, 0, 0
26999, 86061, 0, 0, 0
27999, 86909, 0, 0, 0
28999, 86979, 0, 0, 0
