999, 237464, 0, 0, 0
1999, 237401, 0, 0, 0
2999, 237293, 0, 0, 0
4000, 237284, 0, 0, 0
4999, 237425, 0, 0, 0
5999, 237433, 0, 0, 0
6999, 237284, 0, 0, 0
8000, 237343, 0, 0, 0
8999, 237355, 0, 0, 0
9999, 237431, 0, 0, 0
10999, 237216, 0, 0, 0
12000, 237313, 0, 0, 0
12999, 237077, 0, 0, 0
13999, 237300, 0, 0, 0
14999, 237217, 0, 0, 0
16000, 237163, 0, 0, 0
16999, 237146, 0, 0, 0
17999, 237319, 0, 0, 0
18999, 237265, 0, 0, 0
20000, 237189, 0, 0, 0
20999, 237259, 0, 0, 0
21999, 237474, 0, 0, 0
22999, 237199, 0, 0, 0
24000, 237472, 0, 0, 0
24999, 237276, 0, 0, 0
25999, 237420, 0, 0, 0
26999, 236863, 0, 0, 0
28000, 237018, 0, 0, 0
28999, 237163, 0, 0, 0
29999, 237187, 0, 0, 0
